symbol,predicted Percent Growth
DLR,17.948190689086914
APG,17.947704315185547
EFC,17.924585342407227
STAG,17.9093017578125
NVT,17.90188980102539
NHI,17.897899627685547
DEA,17.888946533203125
SUI,17.87990951538086
SPXC,17.87077522277832
ALEX,17.840808868408203
DX,17.839014053344727
AOMR,17.827239990234375
SIG,17.8181095123291
BRX,17.81746482849121
RC,17.812694549560547
AWR,17.8094425201416
IVR,17.804149627685547
TPC,17.783447265625
NLY,17.78141975402832
AJX,17.77788543701172
ELME,17.7752685546875
STN,17.769737243652344
PLYM,17.75881576538086
FR,17.748699188232422
BFS,17.739255905151367
CHMI,17.73820686340332
TWO,17.72343635559082
LFT,17.715293884277344
PMT,17.707561492919922
MFA,17.69938850402832
CIO,17.682146072387695
KREF,17.67825698852539
BROS,17.671751022338867
MATX,17.666452407836914
DE,17.663236618041992
CIM,17.660181045532227
ACR,17.658069610595703
GNL,17.655906677246094
RITM,17.655542373657227
MPW,17.64997673034668
SPH,17.635419845581055
ABR,17.63254737854004
IRT,17.626340866088867
FLR,17.6173095703125
SPG,17.614940643310547
ARI,17.612751007080078
GPMT,17.60444450378418
VVX,17.59817886352539
CXW,17.598129272460938
FCPT,17.58721351623535
LADR,17.5809326171875
TRTX,17.577369689941406
OSK,17.56485366821289
VICI,17.562353134155273
UHT,17.56075096130371
HASI,17.549747467041016
CMTG,17.54954719543457
ACRE,17.52957534790039
KBR,17.516616821289062
EQC,17.49388313293457
GMRE,17.474056243896484
MDU,17.467632293701172
SBS,17.458316802978516
BXMT,17.456890106201172
FPH,17.454256057739258
AEO,17.44098663330078
LTC,17.432971954345703
MMM,17.41939926147461
ETN,17.41630744934082
ORN,17.412410736083984
IRM,17.40252113342285
BAH,17.394573211669922
ARLO,17.366975784301758
SAFE,17.36431121826172
FBRT,17.360376358032227
BRSP,17.351318359375
POR,17.349958419799805
NVRI,17.336244583129883
VVV,17.280359268188477
CMS,17.273853302001953
ATO,17.24754524230957
OHI,17.210712432861328
ARL,17.191652297973633
TCI,17.18647003173828
MAN,17.14588737487793
XPO,17.12533187866211
PPL,17.124656677246094
UHAL,17.12114715576172
AGCO,17.08441734313965
ENR,17.084274291992188
QUAD,17.059377670288086
IP,17.059226989746094
AXR,17.056486129760742
REVG,17.045513153076172
NXDT,17.044654846191406
AVA,17.04446792602539
EPRT,17.025819778442383
RBA,17.016427993774414
ED,17.015972137451172
NSC,17.015913009643555
ERJ,16.956947326660156
GD,16.955223083496094
MG,16.948667526245117
EME,16.94365692138672
EDN,16.925840377807617
KEP,16.902109146118164
ORA,16.899436950683594
ALTG,16.89267349243164
